Name,Município,Data_Avist,Estado,Latitude,Longitude,Data_Revis,Status
Barra do rio Camaratuba,Mataraca,2019-09-07,PB,"06° 35' 33.46"" S","34° 57' 58.12"" W",2019-10-04,Óleo - Não Observado
Praia Bela,Pitimbu,2019-08-30,PB,"07° 23' 55.92"" S","34° 48' 16.74"" W",2019-10-15,Óleo - Não Observado
Barra do Rio Mamanguape,Rio Tinto,2019-09-07,PB,"06° 46' 39.55"" S","34° 55' 22.77"" W",2019-10-04,Óleo - Não Observado
Praia de Campina,Rio Tinto,2019-09-07,PB,"06° 48' 53.44"" S","34° 54' 51.03"" W",2019-10-04,Óleo - Não Observado
Lagoa de Praia,Rio Tinto,2019-09-07,PB,"06° 48' 19.94"" S","34° 54' 56.68"" W",2019-10-04,Óleo - Não Observado
Oiteiro,Rio Tinto,2019-09-07,PB,"06° 49' 54.48"" S","34° 54' 39.12"" W",2019-10-04,Óleo - Não Observado
Praia do Paiva,Cabo de Santo Agostinho,2019-09-04,PE,"08° 15' 36.16"" S","34° 56' 41.27"" W",,Oleada - Vestígios/Esparsos
Suape,Cabo de Santo Agostinho,2019-09-02,PE,"08° 21' 34.57"" S","34° 57' 29.99"" W",2019-10-23,Óleo - Não Observado
Catuama,Goiana,2019-09-07,PE,"07° 40' 47.60"" S","34° 49' 55.70"" W",2019-09-30,Óleo - Não Observado
Pontas das Pedras,Goiana,2019-09-07,PE,"07° 37' 58.45"" S","34° 48' 43.60"" W",2019-09-30,Óleo - Não Observado
Praia do Forte Orange,Ilha de Itamaracá,2019-09-02,PE,"07° 48' 37.24"" S","34° 50' 17.55"" W",,Oleada - Vestígios/Esparsos
Praia de Gamboa,Ipojuca,2019-09-02,PE,"08° 28' 31.01"" S","34° 59' 41.93"" W",,Oleada - Vestígios/Esparsos
Porto de Galinhas,Ipojuca,2019-09-02,PE,"08° 30' 26.11"" S","35° 00' 00.66"" W",2019-10-19,Oleada - Manchas
Praia de Nossa Senhora do Ó_Muro Alto,Ipojuca,2019-09-02,PE,"08° 26' 45.93"" S","34° 58' 59.57"" W",2019-10-19,Oleada - Manchas
Candeias,Jaboatão dos Guararapes,2019-09-03,PE,"08° 11' 46.38"" S","34° 55' 07.22"" W",2019-10-23,Oleada - Manchas
Piedade,Jaboatão dos Guararapes,2019-09-03,PE,"08° 10' 51.69"" S","34° 54' 59.60"" W",,Oleada - Vestígios/Esparsos
Praia de Dell Chifre,Olinda,2019-09-02,PE,"08° 01' 36.74"" S","34° 51' 30.98"" W",,Oleada - Vestígios/Esparsos
Maria Farinha,Paulista,2019-09-02,PE,"07° 51' 18.87"" S","34° 50' 04.35"" W",2019-09-18,Óleo - Não Observado
Praia do Janga,Paulista,2019-09-02,PE,"07° 55' 41.43"" S","34° 49' 14.70"" W",2019-09-18,Oleada - Vestígios/Esparsos
Conceição,Paulista,2019-09-02,PE,"07° 52' 43.84"" S","34° 49' 43.74"" W",,Oleada - Vestígios/Esparsos
Pau Amarelo,Paulista,2019-09-02,PE,"07° 56' 18.08"" S","34° 49' 24.21"" W",2019-09-18,Óleo - Não Observado
Boa Viagem,Recife,2019-09-03,PE,"08° 08' 25.14"" S","34° 54' 10.85"" W",,Oleada - Vestígios/Esparsos
São José da Coroa Grande,São José da Coroa Grande,2019-09-25,PE,"08° 52' 15.08"" S","35° 08' 02.59"" W",2019-10-17,Óleo - Não Observado
Ilha de Santo Aleixo,Sirinhaém,2019-10-19,PE,"08° 36' 44.50"" S","35° 01' 27.34"" W",,Oleada - Manchas
Tamandaré,Tamandaré,2019-09-07,PE,"08° 45' 44.40"" S","35° 06' 12.95"" W",2019-10-15,Óleo - Não Observado
Carneiros,Tamandaré,2019-09-03,PE,"08° 42' 11.84"" S","35° 04' 46.89"" W",2019-10-23,Óleo - Não Observado
Ponta das Ilhotas,Tamandaré,2019-10-18,PE,"08° 47' 10.93"" S","35° 06' 13.59"" W",2019-10-18,Oleada - Vestígios/Esparsos
Praia da Lama,Cajueiro da Praia,2019-09-28,PI,"02° 56' 22.40"" S","41° 19' 25.18"" W",,Óleo - Não Observado
Atalaia,Luis Correia,2019-09-30,PI,"02° 52' 48.62"" S","41° 38' 19.62"" W",,Óleo - Não Observado
Praia do Arrombado,Luís Correia,2019-09-27,PI,"02° 54' 44.00"" S","41° 31' 28.00"" W",2019-09-27,Óleo - Não Observado
Luís Correia,Luís Correia,2019-09-30,PI,"02° 53' 58.59"" S","41° 36' 29.75"" W",2019-09-30,Oleada - Vestígios/Esparsos
Praia do Coqueiro,Luís Correia,2019-09-30,PI,"02° 54' 13.00"" S","41° 34' 20.00"" W",,Óleo - Não Observado
Praia Peito de Moça,Luís Correia,2019-09-30,PI,"02° 54' 11.20"" S","41° 35' 58.00"" W",,Óleo - Não Observado
Pedra do Sal,Parnaíba,2019-09-30,PI,"02° 48' 25.05"" S","41° 43' 34.95"" W",,Óleo - Não Observado
Baía Formosa,Baía Formosa,2019-09-07,RN,"06° 22' 15.39"" S","35° 00' 22.18"" W",2019-10-23,Óleo - Não Observado
Sagi,Baía Formosa,2019-09-07,RN,"06° 27' 51.33"" S","34° 58' 22.62"" W",2019-10-19,Óleo - Não Observado
Barra do Cunhaú,Canguaretama,2019-09-10,RN,"06° 18' 07.59"" S","35° 01' 56.55"" W",2019-10-02,Óleo - Não Observado
Foz do Rio Catu,Canguaretama,2019-09-12,RN,"06° 17' 12.55"" S","35° 02' 05.95"" W",2019-10-02,Oleada - Vestígios/Esparsos
Muriú,Ceará-Mirim,2019-09-12,RN,"05° 31' 23.40"" S","35° 15' 05.46"" W",2019-10-22,Oleada - Vestígios/Esparsos
Jacumã,Ceará-Mirim,2019-09-11,RN,"05° 35' 10.10"" S","35° 13' 38.60"" W",2019-10-22,Óleo - Não Observado
Barra do Rio,Extremoz,2019-09-20,RN,"05° 40' 45.06"" S","35° 12' 52.44"" W",2019-10-23,Óleo - Não Observado
Jenipabu,Extremoz,2019-09-20,RN,"05° 41' 32.37"" S","35° 12' 21.35"" W",2019-10-23,Oleada - Vestígios/Esparsos
Santa Rita,Extremoz,2019-09-20,RN,"05° 42' 07.57"" S","35° 11' 36.86"" W",2019-10-23,Oleada - Vestígios/Esparsos
Praia de Pitangui,Extremoz,2019-10-22,RN,"05° 37' 21.14"" S","35° 13' 32.09"" W",2019-10-23,Óleo - Não Observado
Praia de Rendinha Nova,Extremoz,2019-10-23,RN,,,,Oleada - Vestígios/Esparsos
